,appid,player_count,date
358,2073850,16992,2025-09-23 00:17:58
359,1665460,12534,2025-09-23 00:18:27
360,236850,12213,2025-09-23 00:18:56
361,594650,8024,2025-09-23 00:19:25
362,3513350,8453,2025-09-23 00:19:54
363,365670,9088,2025-09-23 00:20:23
364,1172710,17587,2025-09-23 00:20:52
365,8930,13314,2025-09-23 00:21:21
366,1407200,6854,2025-09-23 00:21:51
367,3447040,1066,2025-09-23 00:22:20
368,393380,7235,2025-09-23 00:22:49
369,3142050,10201,2025-09-23 00:23:18
370,1329410,1287,2025-09-23 00:23:47
371,1551360,6092,2025-09-23 00:24:17
372,39210,16787,2025-09-23 00:24:46
373,1466860,6615,2025-09-23 00:25:15
374,2321470,10156,2025-09-23 00:25:44
375,1818450,4075,2025-09-23 00:26:13
376,1283970,6080,2025-09-23 00:26:42
377,3478050,745,2025-09-23 00:27:11
378,377160,13021,2025-09-23 00:27:40
379,252950,21863,2025-09-23 00:28:09
380,548430,5490,2025-09-23 00:28:39
381,255710,5804,2025-09-23 00:29:08
382,739630,11383,2025-09-23 00:29:37
383,239140,6312,2025-09-23 00:30:06
384,10,7064,2025-09-23 00:30:35
385,1454400,9406,2025-09-23 00:31:04
386,2763740,8462,2025-09-23 00:31:33
387,304930,10245,2025-09-23 00:32:02
388,1599340,10000,2025-09-23 00:32:32
389,1920960,2104,2025-09-23 00:33:01
390,3164500,15525,2025-09-23 00:33:30
391,107410,8589,2025-09-23 00:33:59
392,1568590,1755,2025-09-23 00:34:28
393,1063730,10447,2025-09-23 00:34:57
394,2001120,1748,2025-09-23 00:35:26
395,457140,4354,2025-09-23 00:35:55
396,244210,7881,2025-09-23 00:36:24
397,761890,7452,2025-09-23 00:36:54
398,1238840,2944,2025-09-23 00:37:23
399,2707930,10327,2025-09-23 00:37:52
400,2379780,10327,2025-09-23 00:38:21
401,534380,4987,2025-09-23 00:38:50
402,990080,6708,2025-09-23 00:39:19
403,2426960,6125,2025-09-23 00:39:48
404,3564400,3254,2025-09-23 00:40:17
405,1903340,7451,2025-09-23 00:40:46
406,1238810,1482,2025-09-23 00:41:15
407,3061570,6328,2025-09-23 00:41:45
408,3231090,7725,2025-09-23 00:42:14
409,529340,5379,2025-09-23 00:42:43
410,1476970,7611,2025-09-23 00:43:12
411,1248130,5253,2025-09-23 00:43:41
412,949230,5010,2025-09-23 00:44:10
413,2508780,3013,2025-09-23 00:44:39
414,2452280,2594,2025-09-23 00:45:08
415,1942280,3080,2025-09-23 00:45:37
416,216150,6737,2025-09-23 00:46:06
417,3165720,7574,2025-09-23 00:46:35
418,291550,10465,2025-09-23 00:47:04
419,1874880,10920,2025-09-23 00:47:34
420,648800,3796,2025-09-23 00:48:03
421,3557620,2061,2025-09-23 00:48:33
422,1687950,3473,2025-09-23 00:49:02
423,2074920,4240,2025-09-23 00:49:31
